Condition,Replicate,Well,Percent_Positive,Growth_Rate,Colony_Morphology,Fluorescence_Intensity
Control,1,1,52.48,0.977,multilayered,224.17
Control,1,2,48.83,1.101,monolayered,308.02
Control,1,3,47.65,1.024,monolayered,370.47
Control,1,4,40.43,0.848,monolayered,443.78
Control,1,5,45.46,1.007,monolayered,64.12
Control,1,6,42.88,0.948,monolayered,274.42
Control,1,7,47,0.999,multilayered,197.66
Control,1,8,44.71,1.039,monolayered,208.15
Control,1,9,51.04,1.074,monolayered,30.14
Control,1,10,50.86,0.842,monolayered,101.08
Control,1,11,47.7,1.032,monolayered,515.67
Control,1,12,48.07,1.089,monolayered,380.52
Control,1,13,45.8,0.952,multilayered,194.77
Control,1,14,49.07,0.91,monolayered,555.1
Control,1,15,49.64,1.036,monolayered,499.04
Control,1,16,57.69,0.908,multilayered,1636.7
Control,1,17,50.44,0.978,monolayered,196.45
Control,1,18,51.79,1.074,monolayered,126.19
Control,1,19,45.96,1.092,multilayered,164.88
Control,1,20,51.64,1.018,multilayered,620.87
Control,2,1,46.49,1.03,monolayered,191.77
Control,2,2,51.31,1.035,monolayered,7.77
Control,2,3,48.29,1.189,multilayered,124.6
Control,2,4,50.87,0.833,monolayered,246.42
Control,2,5,50.3,0.981,monolayered,1094.7
Control,2,6,51.51,0.999,monolayered,321.75
Control,2,7,55.71,1.14,monolayered,425.71
Control,2,8,42.99,1.008,multilayered,115.3
Control,2,9,45.05,0.845,monolayered,155.59
Control,2,10,50.34,0.909,multilayered,368.91
Control,2,11,46.08,1.081,multilayered,192.68
Control,2,12,43.85,1.254,multilayered,618.04
Control,2,13,51.3,1.052,monolayered,434.02
Control,2,14,51.48,1.122,multilayered,389.69
Control,2,15,51.47,1.187,monolayered,135.61
Control,2,16,52.37,0.905,multilayered,420.92
Control,2,17,55.79,1.082,multilayered,122.37
Control,2,18,59.48,0.923,monolayered,67.49
Control,2,19,49.61,1.001,multilayered,322.05
Control,2,20,57.27,0.997,monolayered,64.58
Control,3,1,44.65,0.978,multilayered,355.55
Control,3,2,53.57,1.074,monolayered,226.72
Control,3,3,45.77,1.021,multilayered,56.43
Control,3,4,43.77,1.176,multilayered,392.94
Control,3,5,50.29,1.108,multilayered,87.56
Control,3,6,55.27,0.94,monolayered,469.43
Control,3,7,52.58,1.065,multilayered,483.98
Control,3,8,44.24,0.996,monolayered,57.45
Control,3,9,47.33,0.839,monolayered,407.83
Control,3,10,45.53,1.055,monolayered,190.61
Control,3,11,43.65,0.935,monolayered,258.93
Control,3,12,56.82,1.105,multilayered,447.28
Control,3,13,46.86,0.989,monolayered,125.79
Control,3,14,46.14,1.032,monolayered,729.44
Control,3,15,41.94,1.092,multilayered,76.7
Control,3,16,51.89,0.927,multilayered,725.51
Control,3,17,43.6,1.077,multilayered,346.17
Control,3,18,49.9,0.801,monolayered,109.4
Control,3,19,43.5,1.013,multilayered,174.1
Control,3,20,50.29,0.98,multilayered,1036.05
Drug_0.1uM,1,1,47.658677798944595,1.266,multilayered,272.63
Drug_0.1uM,1,2,54.37930250578761,1.189,multilayered,345.09
Drug_0.1uM,1,3,52.31887349453426,1.141,monolayered,147.76
Drug_0.1uM,1,4,45.28542246628896,1.345,monolayered,483.39
Drug_0.1uM,1,5,57.04786443090655,1.275,monolayered,392.82
Drug_0.1uM,1,6,54.43235279478213,1.078,multilayered,39.02
Drug_0.1uM,1,7,51.166528923919046,1.283,multilayered,212.85
